company.href,company.name,company.url,location,year.founded,fte,type.of.company,category,company.function,sector(s),source.of.revenue,description,short.description,social.impact,financial.info,data.collection,datasets
/Apextech-Llc,Apextech LLC,http://apextechllc.com,"Arlington, VA",2003,17,Private,,Data management and analysis,"Other, Defense, International Development",Data management and analytic services,"Apextech LLC's mission is to provide clients with effective tools and methods to measure their performance. As your provider of choice, Apextech addresses, analyzes, and evaluates current business processes and systems in order to effectively modify or augment our client’s capabilities. Our solutions are forward thinking, flexible and scalable.","Apextech LLC, a commercial and government consulting firm is ready to offer clients and partners unique and innovative solutions to heighten business performance.",Our ability to create jobs and retain employees.  The ability of our clients to understand how they are performing so that they can continue to achieve their mission - international development.,"We have developed solutions in the international development space for NGOs and are working towards integrating those systems with governmental development data from USAID, the World Bank, the EU and the CIDA (Canadian International Development Agency).",questionnaire,"dataset.url,dataset.name
,US Agency for International Development (USAID) Grants Financial Data Maintained by NGOs
,US Department of Defense Accounting and Budgeting Data
"
/Apixio,Apixio,http://www.apixio.com,CA,,,,Healthcare, Healthcare,,,,"Apixio's mission is to improve healthcare by providing instant access to relevant clinical information, anywhere.",,,undocumented,"dataset.url,dataset.name
"
/ApolloBravo-Inc,ApolloBravo Inc,http://www.apollobravo.com,VA,,,,Data/Technology, Data/Technology,,,,"ApolloBravo manages mobile, social and digital campaigns from ideation to full-scale execution and reporting.",,,undocumented,"dataset.url,dataset.name
"
/Appallicious,Appallicious,http://appallicious.com,"San Francisco, CA",2010,13,Private,,Mobile Commerce,"Arts,  Entertainment,  & Recreation, Crime, Education, Environmental, Health and Health Care, Housing/Real Estate",Software licensing,"Appallicious' mission is to create the premiere mobile app platform for local governments who want to utilize technology to improve the overall efficiency of their city and foster better communication between local residents and elected leaders. 

With Appallicious' Skipitt platform, a variety of mobile apps can be created using open data feeds from local, state and federal government. Appallicious created the San Francisco's Rec & Park app, featured by the U.S. Department of Energy, and named one of the 7 open data apps every city should have by Mashable.

The app lets users find parks, playgrounds, museums, recreation centers, picnic tables, and restrooms, all provided with descriptions and displayed on a GPS enabled map. Searching through the simple and easy to use interface brings efficiency, transparency, and exposure to the services and facilities maintained by the City and County of SF.

Named as a 2013 AlwaysOn Global 250 ""Ones to Watch""� company for the second year in a row, Appallicious also developed Neighborhood Score, which was launched by San Francisco Mayor Ed Lee. Neighborhood Score uses data sets to allow residents to see how their neighborhoods rank in public safety, quality of schools, crime rates, air quality, and more.",The Appallicious Mobile Commerce Platform is the leading technology for government and business to go mobile.,"Appallicious supports developing open data policies all over the country. Once more data is made accessible, companies like Appallicious can to create thriving new industries, jobs, and revenue in the private and public sectors. Open data initiatives can also help to create better neighborhoods, healthier cities, and more engaged citizens.","In March 2012, a neighbor of Appallicious co-founder, Yo Yoshida, died tragically after falling through a dilapidated staircase in Yo's apartment. After her death, Yo was inspired to create an application that would provide San Francisco residents with more information about their neighborhoods and the places they live. Neighborhood Score lets you see a score for any block in San Francisco.

Soon Appallicious will be launching Apartment Facts. This service will be a powerful tool for tenants across the country. Apartment Facts will create transparency when it comes to housing safety, accountability, and stopping tragedies like that of Yo's neighbor.",questionnaire,"dataset.url,dataset.name
http://www.census.gov,US Census Bureau
https://data.sfgov.org/,San Francisco Department of Public Heatlh
https://data.sfgov.org/Parks-and-Recreation/Recreation-Park-Department-Park-Info-Dataset/z76i-7s65,San Francisco Parks & Recreation Info Department Dataset
"
/Archimedes-Inc,Archimedes Inc.,http://archimedesmodel.com/,"San Francisco, CA",2006,50,Private,,Data management and analysis,Health and Health Care,Software licensing,"Archimedes is a healthcare modeling and analytics organization. With the Archimedes Model at its core, the company enables people to combine real-world healthcare data and simulation data to create compelling and actionable evidence used in individual healthcare decision making, as well as in populations, with applications in health and economic outcomes research, policy creation, and clinical trial design and operations.","Archimedes applies quantitative analysis to evidence from clinical trials, epidemiological studies, and other sources to create models that show healthcare decision makers how different options affect outcomes and costs.","Archimedes solutions help make better decisions about health and healthcare, whether for individuals or populations.",Not answered by company,questionnaire,"dataset.url,dataset.name
http://www.cdc.gov/nchs/nhanes.htm,National Health and Nutrition Examination Survey (NHANES)
http://www.cdc.gov/nchs/ahcd.htm,National Ambulatory Medical Care Survey (NAMCS)
http://www.cdc.gov/nchs/nhds.htm,National Hospital Discharge Survey (NHDS)
http://www.cdc.gov/nchs/data_access/cmf.htm,Compressed Mortality File (CMF)
"
/Arpin-Van-Lines,Arpin Van Lines,http://www.arpin.com,RI,,,,Transportation, Transportation,,,,"Arpin Van Lines, headquartered in West Warwick, Rhode Island,provides household goods moving and storage services for corporate, government, military, and residential customers.",,,undocumented,"dataset.url,dataset.name
"
/Arrive-Labs,Arrive Labs,http://home.downloadarrive.com,CA,,,,Transportation, Transportation,,,,Arrive Labs builds software solutions for urban transit challenges.,,,undocumented,"dataset.url,dataset.name
"
/Asset4,Asset4,http://asset4.com,NY,,,,Finance & Investment, Finance & Investment,,,,"ASSET4 provides objective, comparable and auditable extra-financial information.",,,undocumented,"dataset.url,dataset.name
"
/Atlas-Van-Lines,Atlas Van Lines,http://www.atlasvanlines.com,IN,,,,Transportation, Transportation,,,,"Headquartered in Evansville, Indiana, Atlas World Group, Inc. comprises a family of companies that deliver transportation and related services globally through a network of quality agents and select service partners.",,,undocumented,"dataset.url,dataset.name
"
/Audit-Analytics,Audit Analytics,http://www.auditanalytics.com,MA,,,,Finance & Investment, Finance & Investment,,,,"Audit Analytics is an on-line public company intelligence service available from the Ives Group Inc, an independent research provider focused on the accounting, insurance, regulatory, legal and investment communities.",,,undocumented,"dataset.url,dataset.name
"
/Aunt-Bertha-Inc,"Aunt Bertha, Inc.",http://auntbertha.com,"Austin, TX",2010,3,Private,,Information for consumers and services for other organizations,Social Assistance,"Subscriptions, Software licensing","At Aunt Bertha, Inc., we collect all federal, state, county, city, neighborhood, and charity program information and put it in one place. If it's based on need, then we collect it. It's pretty simple, really. Using information we learn about programs, and what we learn from the user, we intelligently match people with services that are designed specifically for their situation.",Aunt Bertha picks up where Uncle Sam leaves off by making it easy to find and apply for government and charitable social service programs.,"Every time someone is able to quickly and easily find a resource they may not have otherwise known about, we are making the world a better place to live in.  We look at the kind of help people are looking for and where they are looking to get a better sense of human service delivery in the country.  While we license out application screening and backend search functions, we also always make our basic search free for anyone looking for help.",Not answered by company,questionnaire,"dataset.url,dataset.name
www.benefits.gov,Benefits.gov
http://www.irs.gov/uac/SOI-Tax-Stats-Exempt-Organizations-Business-Master-File-Extract-(EO-BMF),Internal Revenue Service (IRS) SOI Tax Stats - Exempt Organizations Business Master File Extract (EO BMF)
"
/Aureus-Sciences,Aureus Sciences,http://www.aureus-sciences.com,PA,,,,Scientific Research, Scientific Research,,,,Aureus Sciences provides databases and information tools for pharmaceutical and biotech companies.,,,undocumented,"dataset.url,dataset.name
"
/AutoGrid-Systems,AutoGrid Systems,http://www.auto-grid.com/#!,CA,,,,Energy, Energy,,,,"AutoGrid's Energy Data Platform is accessed through public or private cloud services, ensuring high security and privacy while reducing operational and capital expenses.",,,undocumented,"dataset.url,dataset.name
"
/Avalara,Avalara,http://www.avalara.com,WA,,,,Finance & Investment, Finance & Investment,,,,"Avalara produces AvaTax, a cloud-based Software-as-a-Service (SaaS) solution that automatically delivers highly accurate tax decisions in real time.",,,undocumented,"dataset.url,dataset.name
"
/Avvo,Avvo,http://www.avvo.com,WA,,,,Business & Legal Services, Business & Legal Services,,,,"Avvo empowers consumers by rating lawyers, having these lawyers answer their questions (for free), and providing profiles wilth information including experience, background, disciplinary history, and reviews from clients.",,,undocumented,"dataset.url,dataset.name
"
/Azavea,Azavea,http://azavea.com,"Philadelphia, PA",2000,32,Private,,Data management and analysis,"Agriculture, Arts,  Entertainment,  & Recreation, Crime, Education, Energy, Environmental,  Geospatial data/mapping, Health and Health Care, Housing/Real Estate, Scientific Research, Social Assistance, Transportation, Other","Subscriptions, Software licensing","Azavea is an award-winning geospatial software company based in Philadelphia.  The firm was organized to create advanced web and mobile applications for geospatial data visualization and analysis.  Azavea is a certified B Corporation, a for-profit corporation with a social mission.  Our mission is to apply geospatial data and software to create more sustainable, vital, and livable communities while advancing the state-of-the-art through research.  

Geospatial data has become a vital part of the operations of local, state, and federal government, driving everything from emergency response to land conservation.  Azavea applies user interface (UI) design and cloud computing to create web applications that can process big geospatial data sets very rapidly.  We also share much of our work by releasing it under open source licenses so that others can re-use it.  

In addition to working with open geospatial datasets from a variety of federal and local sources, Azavea is dedicated to making that data available to others for transformation into creative new applications.  Azavea's vision is a world in which geospatial analysis is part of a broad foundation upon which government, private, and nonprofit organizations operate for the common good by exchanging information, enhancing knowledge, and fostering collaboration.",Azavea is an award-winning geospatial analysis (GIS) software development firm specializing in the creation of location-based web and mobile software as well as geospatial analysis services.,"First, we focus on projects that have positive civic and social impact.  Second, Azavea shares its commercial success through pro bono work, mentoring programs, organizing civic hackathons, and by donating a portion of its profits to charitable organizations.  Third, many of our software projects are released under open source licenses.","Azavea is a bootstrap company that does not have any external investors.  The firm has grown by reinvesting its profits in growth, product development, and research projects that combine user interface design with geospatial analysis and apply high performance computing techniques to geographic data processing.  While the firm initially grew in Philadelphia, for the past eight years, it has diversified to serve both national and international customers.",questionnaire,"dataset.url,dataset.name
http://www.census.gov/acs/www/data_documentation/summary_file/,American Community Survey (ACS)
http://ned.usgs.gov/,National Elevation Dataset (NED)
"
/Bain,Bain,http://www.bain.com,MA,,,,Research & Consulting, Research & Consulting,,,,"Bain & Company is a management consulting firm that works with top executives to help them make better decisions, convert those decisions to actions, and deliver sustainable success.",,,undocumented,"dataset.url,dataset.name
"
/Be-Informed,Be Informed,http://www.beinformed.com/BeInformed/website/en?init=true,NY,,,,Data/Technology, Data/Technology,,,,"Be Informed’s semantic technology and solutions makes business applications completely model-driven, allowing organizations to instantly execute on new strategies and regulations.",,,undocumented,"dataset.url,dataset.name
"
/BearEco-Technologies-App-Gender-Gap-App,Bear-Eco Technologies (App: Gender Gap App),http://www.beareco.com,,,,,Finance & Investment, Finance & Investment,,,,"Bear-Eco is a boutique custom software development company and creator of Gender Gap, an award-winning app developed with U.S. Department of Labor data on gender inequality in compensation.",,,undocumented,"dataset.url,dataset.name
"
/Bekins,Bekins,http://www.bekins.com,IN,,,,Transportation, Transportation,,,,"Headquartered in Indianapolis, Ind., Bekins offers private and corporate domestic and international household goods relocation services as well as special commodities and logistic services.",,,undocumented,"dataset.url,dataset.name
"
/Berkeley-Earth-Institute,Berkeley Earth Institute,http://www.earthisland.org,CA,,,,Environment & Weather, Environment & Weather,,,,"Earth Island Institute is a non-profit, public interest, membership organization that supports people who are creating solutions to protect our shared planet.",,,undocumented,"dataset.url,dataset.name
"
/Berkery-Noyes,Berkery Noyes,http://www.berkerynoyes.com,NY,,,,Finance & Investment, Finance & Investment,,,,"Berkery Noyes is an independent investment bank providing mergers and acquisitions (M&A) and financial consulting services to middle-market leaders in the global information, software, marketing, and technology industries.",,,undocumented,"dataset.url,dataset.name
"
/Berkshire-Hathaway-,Berkshire Hathaway,http://www.berkshirehathaway.com,NE,,,,Insurance, Insurance,,,,"Berkshire Hathaway Inc. is a multinational conglomerate holding company headquartered in Omaha, Nebraska, that oversees and manages a number of subsidiary companies, including the insurance company GEICO, which it wholly owns.",,,undocumented,"dataset.url,dataset.name
"
/BetterLesson,BetterLesson,http://betterlesson.com,MA,,,,Education, Education,,,,"BetterLesson was founded by a group of teachers from Atlanta and Boston public schools to connect educators and help them create, organize, and share their curricula.",,,undocumented,"dataset.url,dataset.name
"
/BillGuard,BillGuard,https://www.billguard.com,"New York, NY",2010,23,Private,,Consumer services (eg health care),Finance,User fees for web or mobile access,"BillGuard's mission is to use data to save people money. We developed advanced crowdsourcing technology to collect and analyze billing dispute data from millions of consumers in order to extract patterns of fraud and ""Grey Charges"". We use these analytics to monitor our user's credit and debit card statements, alerting them to similar charges on their cards and helping them get their money back. American consumers lose over $14 Billion a year to legal grey charges which result from misleading sales and billing practices.",BillGuard is a personal finance security company harnessing the collective knowledge of millions of consumers to protect Americans from fraud and grey charges.,BillGuard monitors the dollar amount of the fraud and grey charges we have identified for our users.,"We have raised $13M to date from Google chairman Eric Schmidt, PayPal founder Peter Thiel, legendary VC Vinod Khosla, Bessemer Venture Partners, IA Venture Partners and others.  We are still a pre-revenue startup. We plan to generate revenue by certifying trusted merchants with our crowd-powered data.",questionnaire,"dataset.url,dataset.name
https://data.consumerfinance.gov/dataset/Credit-card-complaint-responses-by-issue/3jqb-9gp3,CFPB Credit Card Complaint Database
"
/Bing,Bing,http://www.bing.com,WA,,,,Data/Technology, Data/Technology,,,,Bing is a Microsoft decision (search) engine that combines technology from the Farecast and Powerset acquisitions with new algorithms to attempt to understand the context behind the search in order to give users better results.,,,undocumented,"dataset.url,dataset.name
"
/BizVizz,BizVizz,http://bizvizz.com,WI,,,,Governance, Governance,,,,"BizVizz ""puts the metrics of corporate citizenship in the hands of ordinary people"" by allowing them to see shareable tax data, jobs data, and other financial information hidden in regulatory documents.",,,undocumented,"dataset.url,dataset.name
"
/Black-Rock,Black Rock,http://www.blackrock.com,GA,,,,Finance & Investment, Finance & Investment,,,,"As the world’s largest asset manager, Black Rock works with individuals and institutions from all over the world.",,,undocumented,"dataset.url,dataset.name
"
/Bloomberg,Bloomberg,http://www.bloomberg.com,NY,,,,Finance & Investment, Finance & Investment,,,,"Bloomberg, the global business and financial information and news provider, delivers data, news and analytics through its Professional service, which provides real time financial information to more than 315,000 subscribers.",,,undocumented,"dataset.url,dataset.name
"
/Booz-Allen-Hamilton,Booz Allen Hamilton,http://www.boozallen.com,VA,,,,Research & Consulting, Research & Consulting,,,,"Booz Allen Hamilton describes itself as a leading provider of management consulting, technology, and engineering services that works in the interest of clients, employees, communities, and investors.",,,undocumented,"dataset.url,dataset.name
"
/Boston-Consulting-Group,Boston Consulting Group,http://www.bcg.com,MA,,,,Research & Consulting, Research & Consulting,,,,"The Boston Consulting Group is a global management consulting firm and advisor on business strategy; it works with clients from the private, public, and nonprofit sectors in all regions to identify opportunities and challenges.",,,undocumented,"dataset.url,dataset.name
"
/Bridgewater,Bridgewater,http://www.bwater.com,CT,,,,Finance & Investment, Finance & Investment,,,,"Bridgewater Associates, LP is a global investment management firm, and advises certain private investment funds and institutional clients.",,,undocumented,"dataset.url,dataset.name
"
/Brightscope,Brightscope,http://www.brightscope.com/,"San Diego, CA",2008,60,Private,,Data Management and Analysis,,"Data Management and Analytic Services, Database Licensing, Software Licensing, Subscriptions, User Fees for Web or Mobile Access","BrightScope is a financial information company that brings transparency to opaque markets. Delivered through web-based software, BrightScope data drives better decision-making for individual investors, corporate plan sponsors, asset managers, broker-dealers, and financial advisors. BrightScope primarily operates in two major segments: Retirement Plans and Wealth Management.",BrightScope is a financial information company that provides data through web-based software to drive better decision-making.,Lower fees and better decisions for millions of consumers who depend on their retirement plans and financial advisors.,Not answered by company.,questionnaire,"dataset.url,dataset.name
http://www.dol.gov/dol/topic/retirement/typesofplans.htm,Retirement Plan Data
http://www.sec.gov/,Investment Advisor Data
"
/BuildZoom,BuildZoom,http://www.buildzoom.com,"San Francisco, CA",2010,12,Private,,Consumer services (eg health care),Housing/Real Estate,"Advertising, Lead generation to other businesses","BuildZoom aggregates information on the remodeling industry from city and state governments, consumer protection agencies and users to provide consumers with an authoritative resource to help them make important decisions when remodeling their homes.  On BuildZoom, consumers can view information on every single contractor licensed to practice in the United States and also use a service request tool that algorithmically matches their proposal with the most eligible contractors in their area.  Contractors can add supplemental information to their automatically generated reports, share work photos and answer consumer questions on the site.",BuildZoom takes the pain out of remodeling your home.,General consumer satisfaction in various areas on the site.,Annual revenue from 2012 is around $200k.  Total investment includes $1.5M from one round of seed funding in 2013.,questionnaire,"dataset.url,dataset.name
"
/Buildingeye,Buildingeye,http://www.buildingeye.com,CA,,,,Housing/Real Estate, Housing/Real Estate,,,,Buildingeye takes local government data on building permits in different locations and visualizes this information on its map.,,,undocumented,"dataset.url,dataset.name
"
/Business-and-Legal-Resources,Business and Legal Resources,http://www.blr.com,TN,,,,Business & Legal Services, Business & Legal Services,,,,BLR®—Business & Legal Resources helps U.S. businesses simplify compliance with state and federal legal requirements.,,,undocumented,"dataset.url,dataset.name
"
/CARFAX,CARFAX,http://www.carfax.com/entry.cfx,VA,,,,Transportation, Transportation,,,,"CARFAX, which was started to provide vehicle history information on used cars, now claims the most comprehensive vehicle history database available in North America.",,,undocumented,"dataset.url,dataset.name
"
/CGI,CGI,http://www.cgi.com/en,NY,,,,Data/Technology, Data/Technology,,,,CGI provides end-to-end IT and business process services that facilitate the ongoing evolution of its clients' businesses.,,,undocumented,"dataset.url,dataset.name
"
/CNA-Insurance-Companies,CNA Insurance Companies,http://www.cna.com/portal/site/cna,IL,,,,Insurance, Insurance,,,,"CNA provides insurance solutions by industry, including the financial sector, education, real estate, and manufacturing.",,,undocumented,"dataset.url,dataset.name
"
/CakeHealth,CakeHealth,https://cakehealth.com,CA,,,,Healthcare, Healthcare,,,,CakeHealth brings consumers'  health care plan information together so they can easily track their health spending — without the paperwork.,,,undocumented,"dataset.url,dataset.name
"
/Calcbench-Inc,"Calcbench, Inc.",http://calcbench.com,"New York, NY",2012,3,Private,,Financial/investment services,Finance,"Subscriptions, Data management and analytic services","Calcbench is one of the first companies to fully harness the power of the new, government mandated data standard called XBRL. This gives us an unprecedented direct line into the SEC's corporate financial data repository. As a result, we are able to provide data with a whole new level of detail, faster, and at a much better value. Our expertise is that we process and store all XBRL filings in a uniquely structured, cloud based data universe; we use advanced computing techniques to identify and correct errors (close to half a million corrections made so far), and increase comparability between companies; and we make data available to you within minutes after a filing leaves the CFOs hands.","With collaborative and crowd-sourced components, Calcbench allows financial analysts, accountants, lawyers and investors to instantly access, work with and share SEC filing data, all right on our web page at www.calcbench.com.",Not answered by company,Not answered by company,questionnaire,"dataset.url,dataset.name
sec.gov,sec.gov
"
/Calico,Calico,http://googlepress.blogspot.com/2013/09/calico-announcement.html,CA,,,,Healthcare, Healthcare,,,,"Calico is being launched by Google to focus on health and well-being, in particular the challenge of aging and associated diseases",,,undocumented,"dataset.url,dataset.name
"
/Cambridge-Information-Group,Cambridge Information Group,http://www.cig.com,NY,,,,Finance & Investment, Finance & Investment,,,,"Cambridge Information Group (CIG) is a family owned management and investment firm, primarily focused on education, research and information services companies.",,,undocumented,"dataset.url,dataset.name
"
/Cambridge-Semantics,Cambridge Semantics,http://www.cambridgesemantics.com/home,MA,,,,Data/Technology, Data/Technology,,,,"Cambridge Semantics provides the Anzo software suite, an open platform for building interactive Unified Information Access solutions and rapidly using data from diverse sources both within and across organizational boundaries.",,,undocumented,"dataset.url,dataset.name
"
